nimi,rank
#5,1
#254,2
#122,3
#372,4
#225,5
#475,6
#1,7
#251,8
#30,9
#239,10
#258,11
#489,12
#8,13
#14,14
#9,15
#221,16
#261,17
#471,18
#11,19
#24,20
#84,21
#267,22
#499,23
#45,24
#25,25
#275,26
#19,27
#20,28
#21,29
#81,30
#151,31
#229,32
#230,33
#231,34
#259,35
#260,36
#269,37
#270,38
#271,39
#331,40
#341,41
#401,42
#479,43
#480,44
#481,45
#10,46
#255,47
#265,48
#15,49
#64,50
#152,51
#189,52
#277,53
#418,54
#441,55
#165,56
#333,57
#83,58
#223,59
#253,60
#263,61
#473,62
#3,63
#18,64
#29,65
#41,66
#61,67
#89,68
#90,69
#159,70
#160,71
#161,72
#224,73
#228,74
#240,75
#241,76
#264,77
#268,78
#279,79
#280,80
#291,81
#311,82
#339,83
#340,84
#409,85
#410,86
#411,87
#474,88
#478,89
#490,90
#491,91
#4,92
#13,93
#85,94
#155,95
#235,96
#335,97
#405,98
#485,99
#104,100
#166,101
#184,102
#200,103
#450,104
#205,105
#157,106
#407,107
#233,108
#273,109
#403,110
#483,111
#23,112
#153,113
#12,114
#16,115
#17,116
#28,117
#31,118
#49,119
#50,120
#69,121
#70,122
#88,123
#91,124
#101,125
#154,126
#158,127
#169,128
#170,129
#181,130
#222,131
#226,132
#227,133
#234,134
#238,135
#249,136
#250,137
#252,138
#256,139
#257,140
#262,141
#266,142
#274,143
#278,144
#281,145
#299,146
#300,147
#319,148
#320,149
#334,150
#338,151
#351,152
#404,153
#408,154
#419,155
#420,156
#431,157
#472,158
#476,159
#477,160
#484,161
#488,162
#500,163
#2,164
#6,165
#7,166
#65,167
#245,168
#295,169
#315,170
#415,171
#495,172
#37,173
#92,174
#130,175
#138,176
#286,177
#436,178
#463,179
#425,180
#43,181
#63,182
#163,183
#243,184
#293,185
#313,186
#413,187
#493,188
#22,189
#26,190
#27,191
#39,192
#40,193
#44,194
#48,195
#68,196
#82,197
#86,198
#87,199
#99,200
#100,201
#109,202
#110,203
#131,204
#141,205
#156,206
#164,207
#168,208
#190,209
#191,210
#201,211
#211,212
#232,213
#236,214
#237,215
#244,216
#248,217
#272,218
#276,219
#289,220
#290,221
#294,222
#298,223
#314,224
#318,225
#332,226
#336,227
#337,228
#349,229
#350,230
#359,231
#360,232
#381,233
#391,234
#402,235
#406,236
#414,237
#439,238
#440,239
#451,240
#461,241
#482,242
#486,243
#487,244
#494,245
#498,246
#35,247
#95,248
#105,249
#185,250
#285,251
#345,252
#355,253
#435,254
#174,255
#216,256
#113,257
#448,258
#33,259
#93,260
#103,261
#183,262
#283,263
#343,264
#353,265
#433,266
#38,267
#42,268
#46,269
#47,270
#51,271
#62,272
#66,273
#67,274
#71,275
#94,276
#98,277
#108,278
#111,279
#121,280
#139,281
#140,282
#149,283
#150,284
#162,285
#167,286
#171,287
#188,288
#199,289
#209,290
#210,291
#219,292
#220,293
#242,294
#246,295
#247,296
#284,297
#288,298
#292,299
#296,300
#297,301
#301,302
#312,303
#316,304
#317,305
#321,306
#344,307
#348,308
#354,309
#358,310
#361,311
#371,312
#389,313
#390,314
#399,315
#400,316
#412,317
#416,318
#417,319
#421,320
#434,321
#438,322
#449,323
#459,324
#460,325
#469,326
#470,327
#492,328
#496,329
#497,330
#34,331
#135,332
#145,333
#195,334
#215,335
#385,336
#395,337
#445,338
#455,339
#465,340
#56,341
#72,342
#308,343
#133,344
#143,345
#193,346
#203,347
#213,348
#383,349
#393,350
#443,351
#453,352
#36,353
#59,354
#60,355
#79,356
#80,357
#96,358
#97,359
#102,360
#106,361
#107,362
#119,363
#120,364
#129,365
#134,366
#144,367
#148,368
#179,369
#180,370
#182,371
#186,372
#187,373
#194,374
#198,375
#204,376
#208,377
#214,378
#218,379
#282,380
#287,381
#309,382
#310,383
#329,384
#330,385
#342,386
#346,387
#347,388
#352,389
#356,390
#357,391
#369,392
#370,393
#379,394
#380,395
#384,396
#388,397
#394,398
#398,399
#429,400
#430,401
#432,402
#437,403
#444,404
#454,405
#458,406
#464,407
#468,408
#32,409
#55,410
#75,411
#115,412
#125,413
#175,414
#305,415
#325,416
#365,417
#375,418
#53,419
#73,420
#123,421
#173,422
#303,423
#323,424
#363,425
#373,426
#423,427
#54,428
#58,429
#74,430
#78,431
#114,432
#118,433
#124,434
#128,435
#132,436
#136,437
#137,438
#142,439
#146,440
#147,441
#178,442
#192,443
#196,444
#197,445
#202,446
#206,447
#207,448
#212,449
#217,450
#304,451
#324,452
#328,453
#364,454
#368,455
#374,456
#378,457
#382,458
#386,459
#387,460
#392,461
#396,462
#397,463
#424,464
#428,465
#442,466
#446,467
#447,468
#452,469
#456,470
#457,471
#462,472
#466,473
#467,474
#52,475
#57,476
#76,477
#77,478
#112,479
#116,480
#117,481
#126,482
#127,483
#172,484
#176,485
#177,486
#302,487
#306,488
#307,489
#322,490
#326,491
#327,492
#362,493
#366,494
#367,495
#376,496
#377,497
#422,498
#426,499
#427,500
