 nimi rank
0 1 #5
1 2 #254
2 3 #122
3 4 #372
4 5 #225
5 6 #475
6 7 #1
7 8 #251
8 9 #30
9 10 #239
10 11 #258
11 12 #489
12 13 #8
13 14 #14
14 15 #9
15 16 #221
16 17 #261
17 18 #471
18 19 #11
19 20 #24
20 21 #84
21 22 #267
22 23 #499
23 24 #45
24 25 #25
25 26 #275
26 27 #19
27 28 #20
28 29 #21
29 30 #81
30 31 #151
31 32 #229
32 33 #230
33 34 #231
34 35 #259
35 36 #260
36 37 #269
37 38 #270
38 39 #271
39 40 #331
40 41 #341
41 42 #401
42 43 #479
43 44 #480
44 45 #481
45 46 #10
46 47 #255
47 48 #265
48 49 #15
49 50 #64
50 51 #152
51 52 #189
52 53 #277
53 54 #418
54 55 #441
55 56 #165
56 57 #333
57 58 #83
58 59 #223
59 60 #253
60 61 #263
61 62 #473
62 63 #3
63 64 #18
64 65 #29
65 66 #41
66 67 #61
67 68 #89
68 69 #90
69 70 #159
70 71 #160
71 72 #161
72 73 #224
73 74 #228
74 75 #240
75 76 #241
76 77 #264
77 78 #268
78 79 #279
79 80 #280
80 81 #291
81 82 #311
82 83 #339
83 84 #340
84 85 #409
85 86 #410
86 87 #411
87 88 #474
88 89 #478
89 90 #490
90 91 #491
91 92 #4
92 93 #13
93 94 #85
94 95 #155
95 96 #235
96 97 #335
97 98 #405
98 99 #485
99 100 #104
100 101 #166
101 102 #184
102 103 #200
103 104 #450
104 105 #205
105 106 #157
106 107 #407
107 108 #233
108 109 #273
109 110 #403
110 111 #483
111 112 #23
112 113 #153
113 114 #12
114 115 #16
115 116 #17
116 117 #28
117 118 #31
118 119 #49
119 120 #50
120 121 #69
121 122 #70
122 123 #88
123 124 #91
124 125 #101
125 126 #154
126 127 #158
127 128 #169
128 129 #170
129 130 #181
130 131 #222
131 132 #226
132 133 #227
133 134 #234
134 135 #238
135 136 #249
136 137 #250
137 138 #252
138 139 #256
139 140 #257
140 141 #262
141 142 #266
142 143 #274
143 144 #278
144 145 #281
145 146 #299
146 147 #300
147 148 #319
148 149 #320
149 150 #334
150 151 #338
